시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,093240,형지엘리트,1853,2.72%,1152,2.64%,+23.78%,290,"도망쳐라., / 오늘상치면[1] / 교복으로 로봇만들줄 아는[2] / 작전이던 어쨌던",Positive (54%),"상한가, 형지, 오늘",False
KOSDAQ,053700,삼보모터스,6370,0.00%,4020,0.00%,+22.03%,113,2026 라스베가스 ces 참가 확정 / 이런 회사가 천일고속처럼 가야함...[1] / 지긋[2] / 최저시급받던 초미녀(삼보) 10대소녀가 JYP(로...[2],Positive (76%),"상한가, 이상, 상승했어요",False
KOSDAQ,080220,제주반도체,26325,2.51%,21100,3.08%,+17.79%,471,1년 11개월만에 수익전환[2] / 머야? 왜 폭등하는거야..ㅜㅜ[2] / 천천히 상한가 가보자~~ / 늦었을까요?,Positive (63%),"오늘, 상한가, 프매",False
KOSDAQ,488900,비츠로넥스텍,18650,1.13%,15280,0.81%,+10.16%,120,투자ᆢ / 개처물렸으면 따봉 눌러라[1] / 굿굿 1월에도 우주테마는 대박이지 / ◆우주항공 대장주,Positive (92%),"오늘은, 비츠로넥스텍, 이상",False
KOSDAQ,242040,나무기술,1416,2.82%,1343,2.87%,+7.52%,110,■글로벌 S업체 수주라.... / 오후장 끝나면 글로벌 S사 정체가 밝혀지거나 ... / 제미나이한테 ai 런던 글로벌s기업 물어보면 삼... / 6년째[1],Positive (52%),"키움증권, 진짜, 글로벌",False
KOSPI,000390,삼화페인트,7710,11.11%,7450,11.05%,+6.64%,203,"오늘 상 찍고 그 다음은 10,000원 돌파[1] / 윤씨일가 / 고려아연 영풍 상황보면 경영권싸움은 서로 피...[1] / 오늘 상 마감 후에는 물량 완전 잠수 전망.[1]",Positive (51%),"경영권, 윤씨, 오늘",False
KOSDAQ,486990,노타,45800,0.99%,41500,1.28%,+5.90%,559,49500에 안팔고 뭐헀지 나?[5] / 삼성이 인정했으면..가는거지 / 삼성전자가.. 올라가니 / 막판 로켓 안되나?,Mixed,"오늘, 노타, 삼성전자",False
KOSDAQ,003310,대주산업,3330,2.21%,2800,1.58%,+2.94%,126,3920원이상 투경확정 그아래는 괜춘[1] / 리얼미터 오차범위밖 선두[1] / 직장동료가 매수하길래[1] / 대박~~~ 단일가고 나발이고 2만원까지 마구마...[1],Positive (77%),"정원오, 토꼈네, 투자경고",False
KOSDAQ,030530,원익홀딩스,49050,6.18%,40100,4.85%,+2.72%,285,"고맙습니다. 원익홀딩스[2] / 50층 주민입니다[8] / 최고 180,000원[1] / 와~~",Negative (72%),"원익, 오늘, ㅋㅋ",False
KOSPI,000660,SK하이닉스,648000,53.82%,599000,53.74%,+1.25%,699,20년3월19일 조카권유로[3] / 축 5억 빚투 공무원[3] / 괜히..[1] / 닉스개미들 지독해졌다..[2],Negative (61%),"오늘, 하이닉스, ...",False
KOSPI,005930,삼성전자,120200,52.34%,117000,52.42%,+0.59%,694,15만전자[1] / 국정운영은 이재명정부처럼 하는거다[8] / 주식투자 대박났습니다[1] / 12만전자 이재명대통령님 감쏴~~♡,Positive (50%),"삼전, ..., 삼성전자",False
KOSDAQ,049630,재영솔루텍,4510,7.38%,4160,7.83%,-3.43%,116,투자주의[1] / 조정치고는..참아름답네!! / 2026년에 / 재영은,Mixed,"ㅋㅋㅋ, 오늘, 어제",False
KOSDAQ,490470,세미파이브,26300,0.40%,27649,,-4.88%,581,오늘부터   3연상으로 가나요[1] / 마지막으로 한번 알려줄께요 안타까워서 그려 / 연말 연시에갬들 전부 뒤통네. / 죽고싶은 심정[2],Negative (68%),"1332, ..., 공모가",False
KOSPI,008350,남선알미늄,1300,1.93%,1310,2.57%,-5.04%,142,5퍼 내렸다고 왜케 징징대노[3] / 2025년 마지막 거래일[2] / 6년간 하락 파동  끝내고  상승 전환 / 정원오 테마 합류,Negative (52%),"정원오, 남선, 오늘은",False
KOSDAQ,090710,휴림로봇,7465,11.07%,6200,3.76%,-6.45%,344,휴림로봇 📢 속보입니다[1] / 내일휴장인데 다들 간이 큰듯 / 신용종목이아니라서 위탁증거금 100%따... / 본게임 시작을 안하네[1],Positive (58%),"어제, 오늘, 휴림로봇",False
KOSDAQ,319400,현대무벡스,18900,2.99%,19260,2.21%,-7.13%,286,무백 샀다가 아내에게 욕 처먹음..[9] / 내년이[3] / 데이를  하면서[3] / 19층 마감하겠네요 ㅎㅎ[3],Negative (57%),"오늘, 현대무벡스, 종가",False
KOSDAQ,012210,삼미금속,10520,0.44%,13229,,-20.48%,452,정확한 유통주식수 계산[1] / 상한가에도 팔지 맙시다~![3] / 지금 이시간까지 기관 100만주  나옴 / 누군가 계속해서. 매집하고. 있어요[2],Mixed,"오늘, 이거, 하한가",False
