date,000660_SK하이닉스,005930_삼성전자,402340_SK스퀘어,005935_삼성전자우,009150_삼성전기,005380_현대차,032830_삼성생명,373220_LG에너지솔루션,028260_삼성물산,329180_HD현대중공업,207940_삼성바이오로직스,034020_두산에너빌리티,012450_한화에어로스페이스,105560_KB금융,000270_기아,034730_SK,055550_신한지주,012330_현대모비스,006400_삼성SDI,068270_셀트리온,010120_LS ELECTRIC,267260_HD현대일렉트릭,298040_효성중공업,066570_LG전자,042660_한화오션,035420_NAVER,086790_하나금융지주,069500_KODEX 200,000810_삼성화재,009540_HD한국조선해양,005490_POSCO홀딩스,000150_두산,042700_한미반도체,006800_미래에셋증권,011070_LG이노텍,015760_한국전력,010130_고려아연,316140_우리금융지주,010140_삼성중공업,064350_현대로템,051910_LG화학,360750_TIGER 미국S&P500,017670_SK텔레콤,033780_KT&G,079550_LIG디펜스앤에어로스페이스,011200_HMM,138040_메리츠금융지주,267250_HD현대,024110_기업은행,096770_SK이노베이션,272210_한화시스템,003670_포스코퓨처엠,035720_카카오,307950_현대오토에버,003550_LG,018260_삼성에스디에스,086280_현대글로비스,047810_한국항공우주,278470_에이피알,030200_KT,000720_현대건설,396500_TIGER 반도체TOP10,133690_TIGER 미국나스닥100,071050_한국금융지주,102110_TIGER 200,010950_S-Oil,006260_LS,005940_NH투자증권,259960_크래프톤,379800_KODEX 미국S&P500,323410_카카오뱅크,016360_삼성증권,003490_대한항공,443060_HD현대마린솔루션,005830_DB손해보험,379810_KODEX 미국나스닥100,278530_KODEX 200TR,047050_포스코인터내셔널,028050_삼성E&A,122630_KODEX 레버리지,039490_키움증권,352820_하이브,488770_KODEX 머니마켓액티브,003230_삼양식품,047040_대우건설,007660_이수페타시스,064400_LG씨엔에스,161390_한국타이어앤테크놀로지,005387_현대차2우B,000880_한화,381180_TIGER 미국필라델피아반도체나스닥,180640_한진칼,459580_KODEX CD금리액티브(합성),353200_대덕전자,001440_대한전선,062040_산일전기,091160_KODEX 반도체,000990_DB하이텍,498400_KODEX 200타겟위클리커버드콜,326030_SK바이오팜
20260123,767000,152100,445500,111300,272000,510000,185100,412000,305500,627000,1802000,93300,1255000,135600,159000,296500,83900,457500,373000,202071,101800,884000,2347000,105600,140300,266000,101100,72625,492000,436000,368000,946000,171100,34649,277000,61200,1580000,29550,30400,207500,358000,25121,62700,144900,528000,20350,107400,249500,21050,111400,90400,214000,61000,447500,93300,174500,251500,162900,276500,54200,109200,24413,165878,195800,72557,99500,228000,24000,238500,22902,23500,86100,24100,186600,130000,24828,26240,63300,27000,68410,343500,380000,103395,1235000,5170,119900,73700,67200,287500,119200,30930,130000,1063326,50500,27300,143700,72133,91000,14762,120400
20260126,736000,152100,441000,110900,275000,492500,182200,416000,297500,605000,1807000,91800,1262000,135500,155200,290000,82400,465500,387000,204930,100200,872000,2344000,102500,139800,272500,101200,71909,490500,424000,365000,890000,169500,33156,276000,60400,1807000,29550,29900,213000,349500,24628,61800,142000,529000,20100,107600,243000,20900,114100,88800,228500,61800,433500,89600,172200,243000,167400,278000,54400,106200,24538,163091,197300,71867,98300,233500,23800,255500,22456,23050,83200,23700,184600,128600,24391,25985,63600,28850,66995,358500,382000,103400,1221000,4820,118800,71700,65800,275500,114700,29882,123900,1063405,50600,26600,139300,73377,90700,14678,120700
20260127,800000,159500,473000,113800,277000,488500,187100,408500,298000,588000,1790000,93600,1230000,143000,153500,298000,86100,460000,387500,201594,107400,901000,2387000,101300,140500,281500,105000,74366,502000,426500,359500,899000,174800,34649,257500,60500,1831000,30650,30300,211500,344000,24897,69400,144800,512000,20150,110000,237500,21600,111500,87600,229500,62200,443000,91100,176500,241000,164000,276000,56000,105900,25986,165051,204500,74374,101500,224000,24600,265500,22699,23400,85700,23900,186800,133300,24714,26870,63500,30200,71725,390500,379000,103405,1201000,4805,118900,72000,65100,272000,113800,30326,119100,1063484,50900,26750,142500,78033,95600,15107,119400
20260128,841000,162400,504000,117900,280000,492500,192200,431000,302000,586000,1791000,92000,1288000,137900,149700,305500,83800,447000,396500,208267,114400,902000,2518000,99900,143400,277500,102700,75758,491000,422500,378000,907000,182000,34649,257500,59400,1801000,30200,30200,223000,354000,24648,69000,143500,527000,20000,110800,237500,21750,108200,89000,239500,61800,441000,91400,176500,240500,166800,271000,55900,105700,27519,164592,202500,75725,100500,219000,24900,263000,22471,23500,88300,23800,185400,136500,24629,27385,63900,32150,74210,395000,379500,103410,1199000,5190,125400,69200,65000,272000,113500,31045,116600,1063563,54500,27000,150400,82874,104700,15372,119400
20260129,861000,160700,531000,115600,279500,528000,192000,416500,303000,588000,1776000,94000,1300000,137800,154900,324000,85100,457000,388000,204454,111400,897000,2546000,100900,141900,287000,103600,76694,499000,421000,364000,889000,203500,40673,248000,61000,1959000,30500,29800,226500,343000,24653,69500,145600,525000,20400,111200,236500,22000,113500,92800,235000,61800,484000,92400,177000,255500,168900,276500,56100,108700,28352,164697,221500,76591,100300,236500,26050,260500,22471,23600,91700,23700,184900,143300,24644,27715,62500,31450,75905,426000,377500,103415,1216000,5150,117900,70300,65000,286000,119000,31185,115500,1063777,52500,28300,147100,84767,101100,15573,119300
20260130,909000,160500,570000,117400,279000,500000,188300,398000,301500,575000,1745000,90600,1300000,135200,152600,333500,84300,449000,390000,200165,113200,889000,2603000,99100,138500,275000,100100,76963,501000,413500,347500,851000,211000,42565,245000,58300,1884000,30250,29450,230500,310500,24618,72500,153900,481500,20000,116600,234000,22150,112000,94200,223500,61400,461500,91700,173100,242000,168300,270000,56900,102600,29715,163368,215500,76815,105900,229000,27050,254000,22441,22900,90600,23300,183400,142600,24435,27795,62400,30800,76385,443500,374000,103445,1180000,4970,117500,69700,63500,271000,114500,30775,112900,1063847,63300,29400,147500,88119,105800,15596,118000
20260202,830000,150400,505000,110100,283000,478000,179000,380000,291000,549000,1711000,86200,1239000,133700,150100,299500,82500,436000,356000,193492,105200,836000,2281000,96600,133600,268000,103300,72378,481500,401500,341500,832000,187100,39877,238000,57300,1650000,30100,27400,214500,296500,24793,69100,154700,454000,19530,117400,223000,21800,106900,92900,217500,58400,430000,87900,167900,246000,160000,274000,55200,98800,27194,162739,199800,72340,101000,196700,25150,249000,22596,22100,83700,22500,174200,140900,24345,26200,61100,30800,67460,417000,357000,103450,1100000,4855,110600,67200,62100,257500,108400,29731,110600,1063926,60700,26650,136200,81175,103000,14711,111500
20260203,907000,167500,546000,120600,307500,491500,186300,391000,315000,582000,1749000,91200,1299000,138800,154000,324000,88000,444500,374500,197782,122400,889000,2367000,100300,141400,269000,110200,77944,491500,417500,357000,899000,199300,49734,244500,59500,1716000,31300,28650,222000,306500,25022,73600,157700,463500,20100,119600,233500,22300,109500,119500,226500,59200,442000,91500,171300,250000,163700,272000,56500,108600,29555,165446,218500,77930,97700,215500,27050,245500,22800,23100,93000,23050,185400,141100,24754,28230,65200,31650,78000,455000,368500,103460,1112000,5120,118400,69600,63400,262500,117500,31000,115100,1064010,64700,30800,148200,88698,112900,15722,115100
20260204,900000,169100,569000,120500,305000,504000,197500,402500,316500,583000,1759000,96500,1324000,142100,156800,331000,90300,448500,391500,204454,127800,924000,2384000,102800,144000,264500,112500,79034,516000,424500,363500,902000,202500,50978,247000,62700,1829000,32050,29250,228500,318000,24848,77900,161800,469000,20500,121300,238500,22850,112700,123000,232500,58500,447000,93500,172700,251000,171200,264000,57200,113000,29555,162674,213000,78985,99900,233000,27100,244000,22650,25000,92600,23750,177500,152800,24330,28560,68300,32100,80035,444000,369500,103470,1102000,5590,125400,71700,65100,265500,122900,30151,118600,1064094,61500,33500,157000,88718,110800,15940,115100
20260205,842000,159300,534000,113500,290000,488500,191700,395000,306000,550000,1700000,90600,1227000,139500,156200,331500,90900,433500,385500,207313,123800,873000,2334000,100300,135600,257000,114100,75674,503000,409000,367000,864000,193500,49385,236000,61900,1709000,31900,28100,207000,312000,24992,77500,161800,434500,20300,124100,241500,23000,109800,111300,225500,58200,416000,92800,168300,241000,162000,278000,56100,110000,28013,161910,211500,75620,99800,224500,26300,238500,22780,26850,89600,24150,166600,159700,24220,27435,66700,31650,73250,430000,364500,103480,1076000,5430,120000,70300,66600,257000,118500,29531,115700,1064322,58600,31800,146700,83923,104400,15326,111500
20260206,839000,158600,514000,112400,284000,467500,184300,385000,289500,539000,1668000,89000,1181000,149300,151900,315000,93600,426000,370000,209696,119000,840000,2211000,99200,130600,249000,114600,74862,519000,395500,359500,828000,196000,47792,232500,60700,1641000,32450,27500,202500,304000,24693,69200,163300,427000,20100,122600,238500,23000,106200,103000,218000,56200,391500,89700,165500,238500,158300,256500,56300,106600,28028,159214,205500,74804,98000,214500,25950,238000,22496,26000,88700,23500,164100,164100,23826,27045,64000,31850,71605,405000,355500,103505,1060000,5520,114700,67500,67200,249500,113200,29387,110400,1064407,58900,30250,142500,84342,103000,15181,108500
20260209,887000,166400,563000,115200,304000,478000,193000,394500,312500,540000,1694000,95400,1193000,151400,153800,330000,93400,435000,380000,219228,129200,933000,2396000,102600,133200,250000,118800,77993,531000,390000,363500,885000,197800,53169,235500,62600,1709000,34550,27950,212500,310500,25052,73400,168500,448000,20400,120800,245000,23500,109700,104400,225500,57500,417000,91600,167800,242500,162600,266000,59300,114200,29081,161945,223500,78029,99600,226000,26750,236500,22834,26600,92600,24200,168500,168600,24235,28220,64000,33300,77685,443500,376500,103515,1095000,5770,114700,69400,69800,252500,118700,30735,116700,1064491,60900,31550,159500,88488,99000,15787,109700
20260210,876000,165800,543000,114300,313500,480500,197700,390500,317000,534000,1710000,94100,1146000,155500,154700,330500,97900,437000,381000,216845,127400,939000,2347000,104000,130900,254000,122200,78088,534000,382000,371000,878000,194900,51675,243500,60800,1701000,35600,27850,200000,321000,25117,73700,172000,461000,21200,122100,245000,24150,111800,101300,221000,58300,431000,92900,169700,243500,161300,275500,60700,112000,28542,162804,235500,78044,100600,218500,28450,246500,22894,27400,95600,24950,170100,171800,24360,28215,64000,32950,77750,449000,377000,103525,1148000,7060,110700,69000,73700,255500,114500,31145,124600,1064575,57700,31100,155000,86625,96800,15787,111600
20260211,860000,167800,532000,116100,309500,509000,200000,392000,316500,537000,1712000,95500,1130000,164500,161800,338000,100900,446000,377000,228283,133400,995000,2401000,127900,129700,257500,125800,78765,549000,390000,372000,918000,190500,51078,251000,61000,1678000,37850,28000,202500,322500,24957,75400,171300,457500,21050,131200,250000,25000,113500,101400,218500,58900,445500,98300,171700,255500,162400,282000,62700,114600,28108,161646,226500,78736,107400,233000,29000,259000,22745,28050,95900,24950,166900,177800,24185,28460,64700,33250,79090,447500,383000,103530,1166000,7480,107400,72100,72700,267000,114800,30815,125100,1064659,57300,31000,153800,85746,93800,15926,111500
